Folders,Notes,WorkingSize,BackupSize
camels_06918460_7374577,NotDELETED_Backup_Not_Same_Size,845705672,2087190627
camels_11264500_21609533,KEEP_FOLDER,NA,NA
camels_09223000_3192546,NotDELETED_Backup_Not_Same_Size,878148566,755406287
camels_03463300_19490270,NotDELETED_Backup_Not_Same_Size,502233180,368179332
camels_02350900_6460293,NotDELETED_Backup_Not_Same_Size,3695563498,5186656527
camels_14138900_23736091,NotDELETED_Backup_Not_Same_Size,151173064,203336695
camels_05057200_14269214,NotDELETED_Backup_Not_Same_Size,1098990221,980129717
camels_13313000_23551584,NotDELETED_Backup_Not_Same_Size,750228884,1426594691
camels_05393500_13399941,NotDELETED_Backup_Not_Same_Size,598330338,466960219
camels_09512280_20476698,KEEP_FOLDER,NA,NA
camels_08164600_9349285,NotDELETED_Backup_Not_Same_Size,370533676,652861838
camels_03498500_22130235,NotDELETED_Backup_Not_Same_Size,1472306641,1361527173
camels_14222500_24241689,NotDELETED_Backup_Not_Same_Size,570001713,1056140106
camels_05444000_10605920,NotDELETED_Backup_Not_Same_Size,896372634,772446639
camels_06917000_7359831,KEEP_FOLDER,NA,NA
camels_08101000_2580511,NotDELETED_Backup_Not_Same_Size,1015961966,2016176400
camels_02299950_16877194,NotDELETED_Backup_Not_Same_Size,502398332,552689141
camels_08082700_5542148,NotDELETED_Backup_Not_Same_Size,351606275,612867937
camels_14138870_23736433,NotDELETED_Backup_Not_Same_Size,146096932,169894134
camels_09492400_20488504,NotDELETED_Backup_Not_Same_Size,394993639,261108438
camels_08190000_7872253,NotDELETED_Backup_Not_Same_Size,2154735408,6212646504
camels_02140991_9752476,NotDELETED_Backup_Not_Same_Size,1194334632,2110346701
camels_05399500_14733228,NotDELETED_Backup_Not_Same_Size,1219540409,1103716227
camels_14187000_23785723,NotDELETED_Backup_Not_Same_Size,304076577,529331870
camels_06853800_19017621,KEEP_FOLDER,NA,NA
camels_09505800_20435246,NotDELETED_Backup_Not_Same_Size,830821192,1583370616
camels_11381500_8019544,KEEP_FOLDER,NA,NA
camels_12115000_24537996,NotDELETED_Backup_Not_Same_Size,248773978,386071046
camels_01451800_4187713,KEEP_FOLDER,NA,NA
camels_02108000_10525935,NotDELETED_Backup_Not_Same_Size,3881512486,6974740865
camels_02221525_1056599,NotDELETED_Backup_Not_Same_Size,1092772420,1475193432
camels_05414000_13324402,NotDELETED_Backup_Not_Same_Size,855455129,730511976
camels_02082950_10511316,NotDELETED_Backup_Not_Same_Size,952222641,1602562822
camels_03011800_8974366,NotDELETED_Backup_Not_Same_Size,127855184,294034958
camels_01632900_8441303,NotDELETED_Backup_Not_Same_Size,431958764,424104064
camels_02296500_16806475,NotDELETED_Backup_Not_Same_Size,1471832931,2174716696
camels_06622700_15983485,NotDELETED_Backup_Not_Same_Size,248817537,386620351
camels_12035000_23856727,NotDELETED_Backup_Not_Same_Size,1704346997,1632202938
camels_12488500_24422913,KEEP_FOLDER,NA,NA
camels_11143000_8189809,NotDELETED_Backup_Not_Same_Size,404290568,268283159
camels_02096846_8895436,NotDELETED_Backup_Not_Same_Size,68901137,109867793
camels_06892000_3729049,KEEP_FOLDER,NA,NA
camels_03455500_22152669,KEEP_FOLDER,NA,NA
camels_07261000_7817394,KEEP_FOLDER,NA,NA
camels_08195000_10645755,NotDELETED_Backup_Not_Same_Size,1291180663,2459869031
camels_06339100_16247217,NotDELETED_Backup_Not_Same_Size,722813629,1361867811
camels_01134500_4570675,NotDELETED_Backup_Not_Same_Size,517512051,1859703327
camels_11481200_8315847,KEEP_FOLDER,NA,NA
camels_02384540_12193270,NotDELETED_Backup_Not_Same_Size,252259732,117941489
camels_01567500_4710396,NotDELETED_Backup_Not_Same_Size,275483431,164709777
camels_03076600_3808829,NotDELETED_Backup_Not_Same_Size,154223195,338799787
camels_12010000_23864404,KEEP_FOLDER,NA,NA
camels_04122500_8992044,NotDELETED_Backup_Not_Same_Size,1964338453,1867132455
camels_12186000_24264875,KEEP_FOLDER,NA,NA
camels_01644000_4507266,NotDELETED_Backup_Not_Same_Size,1682845173,3200717064
camels_03471500_19752335,NotDELETED_Backup_Not_Same_Size,600781519,469074800
camels_08176900_1638559,KEEP_FOLDER,NA,NA
camels_12145500_23970215,NotDELETED_Backup_Not_Same_Size,228666946,337583251
camels_01664000_8465429,NotDELETED_Backup_Not_Same_Size,2090746177,4105606860
camels_08103900_5587890,KEEP_FOLDER,NA,NA
camels_02298608_16837084,NotDELETED_Backup_Not_Same_Size,713033444,898467662
camels_10336645_8941733,NotDELETED_Backup_Not_Same_Size,916099581,951436077
camels_05495000_5802762,NotDELETED_Backup_Not_Same_Size,2090396136,1994444930
camels_06921200_7388709,NotDELETED_Backup_Not_Same_Size,466002015,1053250098
camels_01532000_4199144,KEEP_FOLDER,NA,NA
camels_02074500_8673535,NotDELETED_Backup_Not_Same_Size,713387084,1092924610
camels_02215100_6365072,NotDELETED_Backup_Not_Same_Size,981140715,1303868456
camels_10234500_1215135,NotDELETED_Backup_Not_Same_Size,572157255,440629225
camels_01054200_6716129,KEEP_FOLDER,NA,NA
camels_03078000_3808365,NotDELETED_Backup_Not_Same_Size,158514858,343091151
camels_02143040_9745600,NotDELETED_Backup_Not_Same_Size,390240659,339336837
camels_03473000_19752425,NotDELETED_Backup_Not_Same_Size,2072294511,1980113622
camels_14166500_23763161,NotDELETED_Backup_Not_Same_Size,389857693,687987733
camels_01544500_8134650,KEEP_FOLDER,NA,NA
camels_12381400_24356091,NotDELETED_Backup_Not_Same_Size,278007853,453128569
camels_01596500_14364088,NotDELETED_Backup_Not_Same_Size,436977218,545797861
camels_08164300_7846049,KEEP_FOLDER,NA,NA
camels_02297155_16812461,KEEP_FOLDER,NA,NA
camels_09404450_10025746,NotDELETED_Backup_Not_Same_Size,545537168,413335457
camels_02056900_8626863,KEEP_FOLDER,NA,NA
camels_11176400_2806807,KEEP_FOLDER,NA,NA
camels_01491000_9407484,KEEP_FOLDER,NA,NA
camels_12020000_23850487,NotDELETED_Backup_Not_Same_Size,712976140,584500996
camels_03173000_6908597,NotDELETED_Backup_Not_Same_Size,504904355,1420364086
camels_06289000_12771343,NotDELETED_Backup_Not_Same_Size,624941271,1159976733
camels_14316700_23894572,NotDELETED_Backup_Not_Same_Size,839475117,1600971732
camels_02479155_18105412,NotDELETED_Backup_Not_Same_Size,446326196,331197174
camels_07060710_11834118,NotDELETED_Backup_Not_Same_Size,304891894,618111100
camels_12178100_24255169,KEEP_FOLDER,NA,NA
camels_13331500_23436993,NotDELETED_Backup_Not_Same_Size,812226603,1545350593
camels_03479000_19743430,NotDELETED_Backup_Not_Same_Size,642865294,512194340
